구,동,전용면적,층,추정월세
서대문구,홍은동,60,1,212.89711741332997
송파구,오금동,60,1,214.62457324671337
광진구,광장동,60,1,218.25614009738737
송파구,가락동,60,1,223.8076454551887
송파구,거여동,60,1,224.6457607627933
광진구,구의동,60,1,225.4769765996245
광진구,군자동,60,1,225.68863129554305
송파구,풍납동,60,1,225.92869462145177
서대문구,홍제동,60,1,230.47864647658852
광진구,중곡동,60,1,231.0131815270326
서대문구,북가좌동,60,1,232.62753449230092
서대문구,남가좌동,60,1,239.26992905577143
서대문구,북아현동,60,1,241.66221267778877
광진구,자양동,60,1,243.62213006424284
송파구,문정동,60,1,245.68794126831008
송파구,장지동,60,1,259.84803613914573
송파구,마천동,60,1,260.47474098249387
강남구,개포동,60,1,260.54045959643264
광진구,능동,60,1,267.0227407992131
서대문구,연희동,60,1,267.9872259166545
강남구,세곡동,60,1,270.8000377739227
광진구,화양동,60,1,271.05212103776887
강남구,대치동,60,1,272.522335934096
송파구,방이동,60,1,274.9917877088898
강남구,도곡동,60,1,278.3392127548315
강남구,역삼동,60,1,279.5621321777288
송파구,삼전동,60,1,280.33450848747765
송파구,석촌동,60,1,286.7377184058536
송파구,잠실동,60,1,299.61205846458915
송파구,송파동,60,1,300.4655270613565
강남구,일원동,60,1,313.3155883332281
강남구,논현동,60,1,339.5421181731754
강남구,청담동,60,1,344.1428313771737
강남구,신사동,60,1,351.2327803846488
강남구,삼성동,60,1,358.19910274122856
