구_x,동,전용면적,층,추정월세,업종,구_y,추정매출
서대문구,홍은동,50,1,172.35146781462467,슈퍼마켓,서대문구,766.5591463414635
서대문구,홍은동,50,1,172.35146781462467,음식점,서대문구,340.9530487804878
서대문구,홍은동,50,1,172.35146781462467,카페,서대문구,341.6061224489796
서대문구,홍은동,50,1,172.35146781462467,학원,서대문구,398.16474358974364
서대문구,홍제동,50,1,178.82902823482527,슈퍼마켓,서대문구,720.7251968503937
서대문구,홍제동,50,1,178.82902823482527,음식점,서대문구,387.85312500000003
서대문구,홍제동,50,1,178.82902823482527,카페,서대문구,183.61160714285717
서대문구,홍제동,50,1,178.82902823482527,학원,서대문구,376.6247967479675
서대문구,남가좌동,50,1,181.63745883987997,슈퍼마켓,서대문구,951.8709302325583
서대문구,남가좌동,50,1,181.63745883987997,음식점,서대문구,365.53000000000003
서대문구,남가좌동,50,1,181.63745883987997,카페,서대문구,196.23650793650793
서대문구,남가좌동,50,1,181.63745883987997,학원,서대문구,566.7703389830508
서대문구,북가좌동,50,1,181.99106089480705,슈퍼마켓,서대문구,617.375
서대문구,북가좌동,50,1,181.99106089480705,음식점,서대문구,541.3476851851851
서대문구,북가좌동,50,1,181.99106089480705,카페,서대문구,154.737
서대문구,북가좌동,50,1,181.99106089480705,학원,서대문구,365.50094339622643
광진구,광장동,50,1,182.68906612389367,슈퍼마켓,광진구,665.4725000000001
광진구,광장동,50,1,182.68906612389367,음식점,광진구,568.2325000000001
광진구,광장동,50,1,182.68906612389367,카페,광진구,473.08953488372094
광진구,광장동,50,1,182.68906612389367,학원,광진구,192.15625000000003
서대문구,북아현동,50,1,188.05731797138392,슈퍼마켓,서대문구,619.4711111111112
서대문구,북아현동,50,1,188.05731797138392,음식점,서대문구,557.8375000000001
서대문구,북아현동,50,1,188.05731797138392,카페,서대문구,132.86428571428573
서대문구,북아현동,50,1,188.05731797138392,학원,서대문구,490.27000000000004
광진구,구의동,50,1,190.42281081835625,슈퍼마켓,광진구,637.5525423728815
